Evaluation

batch_size=40
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_dir='data/rt-polarity'
dataset_sort=False
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=300
emb_fn='/playpen2/home/peter/xu/data/glove.840B.300d.txt'
emb_load_all=False
epoch_num=200
evaluator='token-acc'
freeze_word_embeddings=False
gpu=0
hadamard_importance=False
kmeans_init=True
lambda_sep=0
latent_dim=None
load_name=None
lr=0.015
lr_decay=0.05
max_pool_protos=True
min_epoch_num=1
model='ProtoBiRNNFixed'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=40
opt='sgd'
patience=80
pooling_type='attention'
pre_eval=True
pretrained_model='attention'
proto_dim=100
push_after=0
rnn_hidden_dim=50
rnn_type='LSTM'
save_best=True
save_data=False
save_dir='saved_models'
save_name='proto-fixed-p40'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=1000
unfreeze_lin_layer=1000
verbose=True
word_seq_indexer='data/word_seq_indexer'

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------
*** Token-level accuracy: 77.67% ***
 	 TP: 76.44 | abs: 808
 	 FP: 23.56 | abs: 249
 	 TN: 78.93 | abs: 813
 	 FN: 21.07 | abs: 217
Neg class: neg, Pos class: pos
            162 |           0.45 |          89.46 |          79.64 |          80.40 |           0.45 |           0.00 |          -2.95 
            163 |           0.43 |          89.76 |          80.00 |          80.16 |           0.43 |           0.00 |          -3.05 
            164 |           0.45 |          89.64 |          80.36 |          80.59 |           0.45 |           0.00 |          -2.88 
            165 |           0.48 |          89.92 |          80.36 |          80.07 |           0.48 |           0.00 |          -2.80 
            166 |           0.47 |          90.01 |          80.00 |          80.11 |           0.47 |           0.00 |          -2.84 
            167 |           0.45 |          89.75 |          80.12 |          80.16 |           0.45 |           0.00 |          -2.87 
            168 |           0.45 |          89.36 |          80.12 |          80.16 |           0.45 |           0.00 |          -2.89 
            169 |           0.47 |          89.84 |          80.72 |          80.26 |           0.47 |           0.00 |          -2.92 
            170 |           0.47 |          89.88 |          80.60 |          79.92 |           0.47 |           0.00 |          -2.87 
            171 |           0.47 |          90.00 |          80.12 |          79.83 |           0.47 |           0.00 |          -2.86 
            172 |           0.44 |          89.97 |          80.12 |          79.92 |           0.44 |           0.00 |          -3.05 
            173 |           0.46 |          89.92 |          80.60 |          79.97 |           0.46 |           0.00 |          -2.82 
            174 |           0.44 |          88.72 |          79.28 |          79.88 |           0.44 |           0.00 |          -2.93 
            175 |           0.47 |          90.03 |          79.76 |          79.97 |           0.47 |           0.00 |          -2.82 
            176 |           0.43 |          89.93 |          80.00 |          80.11 |           0.43 |           0.00 |          -3.03 
            177 |           0.44 |          89.85 |          80.24 |          80.02 |           0.44 |           0.00 |          -2.91 
            178 |           0.45 |          90.01 |          80.24 |          80.21 |           0.45 |           0.00 |          -2.89 
            179 |           0.48 |          89.83 |          80.24 |          79.97 |           0.48 |           0.00 |          -2.82 
            180 |           0.46 |          90.23 |          80.36 |          80.21 |           0.46 |           0.00 |          -2.87 
            181 |           0.45 |          89.54 |          79.64 |          80.02 |           0.45 |           0.00 |          -2.94 
            182 |           0.45 |          89.67 |          80.60 |          80.40 |           0.45 |           0.00 |          -2.96 
            183 |           0.45 |          89.75 |          80.36 |          80.31 |           0.45 |           0.00 |          -2.91 
            184 |           0.45 |          90.15 |          80.24 |          80.11 |           0.45 |           0.00 |          -2.98 
            185 |           0.45 |          90.43 |          80.00 |          80.40 |           0.45 |           0.00 |          -2.98 
            186 |           0.48 |          90.11 |          80.36 |          80.16 |           0.48 |           0.00 |          -2.77 
            187 |           0.45 |          87.47 |          78.32 |          78.01 |           0.45 |           0.00 |          -2.95 
            188 |           0.47 |          90.20 |          80.36 |          80.45 |           0.47 |           0.00 |          -2.85 
            189 |           0.46 |          90.41 |          80.60 |          80.35 |           0.46 |           0.00 |          -2.95 
            190 |           0.46 |          90.05 |          80.12 |          80.98 |           0.46 |           0.00 |          -2.80 
            191 |           0.44 |          90.40 |          80.48 |          80.59 |           0.44 |           0.00 |          -2.96 
            192 |           0.47 |          90.05 |          79.28 |          80.31 |           0.47 |           0.00 |          -2.80 
            193 |           0.44 |          89.59 |          79.76 |          79.97 |           0.44 |           0.00 |          -3.01 
            194 |           0.49 |          89.46 |          79.52 |          80.26 |           0.49 |           0.00 |          -2.76 
            195 |           0.46 |          90.15 |          80.84 |          80.59 |           0.46 |           0.00 |          -2.94 
            196 |           0.49 |          90.08 |          80.60 |          80.64 |           0.49 |           0.00 |          -2.75 
            197 |           0.46 |          90.20 |          80.72 |          80.79 |           0.46 |           0.00 |          -2.89 
            198 |           0.44 |          90.48 |          80.72 |          80.98 |           0.44 |           0.00 |          -3.01 
            199 |           0.43 |          90.61 |          80.60 |          80.50 |           0.43 |           0.00 |          -3.07 
            200 |           0.46 |          90.44 |          80.84 |          80.55 |           0.46 |           0.00 |          -2.85 
