Evaluation

batch_size=1000
cross_fold_id=-1
cross_folds_num=-1
data_name='adult'
dataset_sort=False
dropout_ratio=0
epoch_num=300
evaluator='token-acc'
gpu=0
hadamard_importance=False
hidden_dim=50
input_dim=66
kmeans_init=True
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.001
lr_decay=0
max_pool_protos=True
min_epoch_num=1
model='ProtoMLP'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=20
opt='sgd'
patience=150
pooling_type='attention'
pre_eval=False
pretrained_model='mlp-16d'
proto_dim=16
push_after=80
save_best=True
save_data=False
save_dir='saved_models'
save_name='proto-20-push80'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=1000
verbose=True
weight_decay=0.0001

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
            148 |           0.35 |          82.99 |          80.68 |          81.96 |           0.50 |           0.00 |          -1.51 
            149 |           0.33 |          83.16 |          80.87 |          82.22 |           0.49 |           0.00 |          -1.58 
            150 |           0.34 |          83.19 |          81.57 |          82.22 |           0.50 |           0.00 |          -1.58 
            151 |           0.33 |          83.28 |          81.57 |          82.15 |           0.49 |           0.00 |          -1.60 
            152 |           0.32 |          83.27 |          81.51 |          82.22 |           0.48 |           0.00 |          -1.60 
            153 |           0.34 |          83.08 |          81.19 |          82.35 |           0.50 |           0.00 |          -1.60 
            154 |           0.34 |          83.16 |          81.51 |          82.28 |           0.49 |           0.00 |          -1.49 
            155 |           0.34 |          83.12 |          81.19 |          82.41 |           0.49 |           0.00 |          -1.55 
            156 |           0.33 |          83.33 |          81.44 |          82.54 |           0.48 |           0.00 |          -1.52 
            157 |           0.34 |          83.31 |          81.57 |          82.41 |           0.49 |           0.00 |          -1.53 
            158 |           0.33 |          83.33 |          81.38 |          82.35 |           0.49 |           0.00 |          -1.59 
            159 |           0.34 |          83.41 |          81.57 |          82.15 |           0.50 |           0.00 |          -1.57 
            160 |           0.33 |          83.13 |          81.25 |          82.22 |           0.49 |           0.00 |          -1.58 
            161 |           0.34 |          83.20 |          81.57 |          81.90 |           0.49 |           0.00 |          -1.48 
            162 |           0.34 |          83.11 |          81.25 |          82.22 |           0.49 |           0.00 |          -1.50 
            163 |           0.35 |          83.23 |          81.31 |          82.03 |           0.49 |           0.00 |          -1.44 
            164 |           0.35 |          83.34 |          81.31 |          82.35 |           0.49 |           0.00 |          -1.43 
            165 |           0.34 |          83.37 |          81.38 |          82.35 |           0.49 |           0.00 |          -1.50 
            166 |           0.33 |          83.51 |          81.44 |          82.28 |           0.49 |           0.00 |          -1.54 
            167 |           0.32 |          83.48 |          81.57 |          82.35 |           0.48 |           0.00 |          -1.60 
            168 |           0.33 |          83.48 |          81.57 |          82.41 |           0.49 |           0.00 |          -1.59 
            169 |           0.32 |          83.54 |          81.31 |          82.66 |           0.49 |           0.00 |          -1.67 
            170 |           0.32 |          83.48 |          81.51 |          82.47 |           0.49 |           0.00 |          -1.69 
            171 |           0.31 |          83.48 |          81.51 |          82.47 |           0.49 |           0.00 |          -1.72 
            172 |           0.34 |          83.39 |          81.31 |          82.79 |           0.50 |           0.00 |          -1.65 
            173 |           0.30 |          83.53 |          81.38 |          82.35 |           0.48 |           0.00 |          -1.75 
            174 |           0.32 |          83.51 |          81.51 |          82.47 |           0.49 |           0.00 |          -1.72 
            175 |           0.30 |          83.52 |          81.31 |          82.41 |           0.48 |           0.00 |          -1.78 
            176 |           0.28 |          83.51 |          81.44 |          82.35 |           0.47 |           0.00 |          -1.85 
            177 |           0.28 |          83.46 |          81.25 |          82.79 |           0.47 |           0.00 |          -1.85 
            178 |           0.30 |          83.44 |          81.44 |          82.54 |           0.49 |           0.00 |          -1.82 
            179 |           0.29 |          83.45 |          81.51 |          82.66 |           0.47 |           0.00 |          -1.85 
            180 |           0.31 |          83.44 |          81.57 |          82.66 |           0.49 |           0.00 |          -1.79 
            181 |           0.28 |          83.45 |          81.57 |          82.73 |           0.47 |           0.00 |          -1.89 
            182 |           0.28 |          83.28 |          81.51 |          82.03 |           0.47 |           0.00 |          -1.90 
            183 |           0.33 |          83.28 |          81.38 |          82.15 |           0.49 |           0.00 |          -1.63 
            184 |           0.31 |          83.31 |          81.38 |          82.15 |           0.48 |           0.00 |          -1.73 
            185 |           0.33 |          83.35 |          81.44 |          82.03 |           0.50 |           0.00 |          -1.68 
            186 |           0.32 |          83.32 |          81.44 |          82.03 |           0.48 |           0.00 |          -1.66 
            187 |           0.31 |          83.33 |          81.51 |          82.03 |           0.48 |           0.00 |          -1.73 
            188 |           0.33 |          83.38 |          81.44 |          82.22 |           0.50 |           0.00 |          -1.68 
            189 |           0.32 |          83.44 |          81.25 |          82.22 |           0.49 |           0.00 |          -1.75 
            190 |           0.30 |          83.38 |          81.57 |          82.03 |           0.48 |           0.00 |          -1.82 
            191 |           0.32 |          83.38 |          81.57 |          82.09 |           0.49 |           0.00 |          -1.77 
            192 |           0.30 |          83.35 |          81.44 |          82.03 |           0.48 |           0.00 |          -1.84 
            193 |           0.28 |          83.45 |          81.51 |          82.22 |           0.47 |           0.00 |          -1.91 
